SEQUENCE	START	END	STRAND	ICEBERG_ID	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	DESCRIPTION
EJFNJEFF_00557	1	234	+	ICE_960	1-234/234	0/0	100.0	97.4	ICEberg	ANC65590.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443480|ref|ANC65590.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00558	1	226	+	ICE_60	7-232/232	0/0	97.41	100.0	ICEberg	CAF29068.1	putative_DNA-binding_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507317|emb|CAF29068.1| putative DNA-binding protein [Haemophilus influenzae]
EJFNJEFF_00559	1	53	+	ICE_960	1-53/53	0/0	100.0	92.5	ICEberg	ANC65588.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443478|ref|ANC65588.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00560	1	95	+	ICE_60	11-105/105	0/0	90.48	100.0	ICEberg	CAF29067.1	hypothetical_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507316|emb|CAF29067.1| hypothetical protein [Haemophilus influenzae]
EJFNJEFF_00561	1	63	+	ICE_960	1-63/63	0/0	100.0	100.0	ICEberg	ANC65586.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443476|ref|ANC65586.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00562	1	196	+	ICE_960	1-196/196	0/0	100.0	100.0	ICEberg	ANC65585.1	gamma-delta_resolvase_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443475|ref|ANC65585.1| gamma-delta resolvase [Actinobacillus pleuropneumoniae]
EJFNJEFF_00563	1	147	+	ICE_960	1-147/147	0/0	100.0	100.0	ICEberg	ANC65584.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443474|ref|ANC65584.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00564	1	253	+	ICE_960	1-253/253	0/0	100.0	100.0	ICEberg	ANC65583.1	N-6_DNA_methylase_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443473|ref|ANC65583.1| N-6 DNA methylase [Actinobacillus pleuropneumoniae]
EJFNJEFF_00565	1	317	+	ICE_960	1-317/317	0/0	100.0	100.0	ICEberg	ANC65582.1	DNA_primase_TraC_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443472|ref|ANC65582.1| DNA primase TraC [Actinobacillus pleuropneumoniae]
EJFNJEFF_00566	1	52	+	ICE_960	1-52/52	0/0	100.0	100.0	ICEberg	ANC65581.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443471|ref|ANC65581.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00567	1	82	+	ICE_960	1-82/82	0/0	100.0	100.0	ICEberg	ANC65580.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443470|ref|ANC65580.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00568	1	77	+	ICE_60	1-77/77	0/0	100.0	100.0	ICEberg	CAF29063.1	conserved_hypothetical_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507312|emb|CAF29063.1| conserved hypothetical protein [Haemophilus influenzae]
EJFNJEFF_00569	1	118	+	ICE_960	1-118/118	0/0	100.0	100.0	ICEberg	ANC65578.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443468|ref|ANC65578.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00570	1	145	+	ICE_960	1-145/145	0/0	100.0	100.0	ICEberg	ANC65577.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443467|ref|ANC65577.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00571	1	313	+	ICE_960	1-313/313	0/0	100.0	100.0	ICEberg	ANC65576.1	TraU_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443466|ref|ANC65576.1| TraU protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00572	1	666	+	ICE_60	1-666/666	0/0	100.0	100.0	ICEberg	CAF29059.1	putative_exported_protein_precursor_Haemophilus_influenzae	 ICEberg|60 gi|51507308|emb|CAF29059.1| putative exported protein precursor [Haemophilus influenzae]
EJFNJEFF_00573	1	135	+	ICE_60	1-135/135	0/0	100.0	100.0	ICEberg	CAF29058.1	hypothetical_exported_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507307|emb|CAF29058.1| hypothetical exported protein [Haemophilus influenzae]
EJFNJEFF_00574	1	59	+	ICE_960	1-59/59	0/0	100.0	89.8	ICEberg	ANC65573.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443463|ref|ANC65573.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00575	1	286	+	ICE_60	1-286/286	0/0	100.0	100.0	ICEberg	CAF29065.1	beta-lactamase_TEM_precursor_Haemophilus_influenzae	 ICEberg|60 gi|51507314|emb|CAF29065.1| beta-lactamase TEM precursor [Haemophilus influenzae]
EJFNJEFF_00576	1	185	+	ICE_60	1-185/185	0/0	100.0	100.0	ICEberg	CAF29066.1	transposon_Tn3_resolvase_Haemophilus_influenzae	 ICEberg|60 gi|51507315|emb|CAF29066.1| transposon Tn3 resolvase [Haemophilus influenzae]
EJFNJEFF_00578	1	109	+	ICE_60	1-109/109	0/0	100.0	100.0	ICEberg	CAF29057.1	hypothetical_membrane_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507306|emb|CAF29057.1| hypothetical membrane protein [Haemophilus influenzae]
EJFNJEFF_00579	1	497	+	ICE_60	1-497/497	0/0	100.0	100.0	ICEberg	CAF29056.1	Putative_membrane_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507305|emb|CAF29056.1| Putative membrane protein [Haemophilus influenzae]
EJFNJEFF_00580	1	107	+	ICE_60	1-107/107	0/0	100.0	100.0	ICEberg	CAF29055.1	hypothetical_membrane_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507304|emb|CAF29055.1| hypothetical membrane protein [Haemophilus influenzae]
EJFNJEFF_00581	1	147	+	ICE_960	1-147/147	0/0	100.0	100.0	ICEberg	ANC65569.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443459|ref|ANC65569.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00582	1	956	+	ICE_960	1-956/956	0/0	100.0	99.9	ICEberg	ANC65568.1	F_pilus_assembly_Type-IV_secretion_system_for_plasmid_transfer_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443458|ref|ANC65568.1| F pilus assembly Type-IV secretion system for plasmid transfer [Actinobacillus pleuropneumoniae]
EJFNJEFF_00583	1	135	+	ICE_60	1-135/135	0/0	100.0	99.3	ICEberg	CAF29052.1	putative_lipoprotein_precursor_Haemophilus_influenzae	 ICEberg|60 gi|51507301|emb|CAF29052.1| putative lipoprotein precursor [Haemophilus influenzae]
EJFNJEFF_00584	1	466	+	ICE_60	1-466/466	0/0	100.0	97.0	ICEberg	CAF29051.1	putative_exported_protein_precursor_Haemophilus_influenzae	 ICEberg|60 gi|51507300|emb|CAF29051.1| putative exported protein precursor [Haemophilus influenzae]
EJFNJEFF_00585	1	289	+	ICE_960	1-289/289	0/0	100.0	99.3	ICEberg	ANC65565.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443455|ref|ANC65565.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00586	1	214	+	ICE_960	1-214/214	0/0	100.0	98.6	ICEberg	ANC65564.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443454|ref|ANC65564.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00587	1	123	+	ICE_960	1-123/123	0/0	100.0	100.0	ICEberg	ANC65563.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443453|ref|ANC65563.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00588	1	133	+	ICE_60	1-133/133	0/0	100.0	99.2	ICEberg	CAF29047.1	putative_membrane_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507296|emb|CAF29047.1| putative membrane protein [Haemophilus influenzae]
EJFNJEFF_00589	1	81	+	ICE_960	1-81/81	0/0	100.0	95.1	ICEberg	ANC65561.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443451|ref|ANC65561.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00590	1	106	+	ICE_960	1-106/106	0/0	100.0	99.1	ICEberg	ANC65560.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443450|ref|ANC65560.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00591	1	228	+	ICE_60	1-228/228	0/0	100.0	99.6	ICEberg	CAF29045.1	Putative_membrane_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507294|emb|CAF29045.1| Putative membrane protein [Haemophilus influenzae]
EJFNJEFF_00592	1	111	+	ICE_960	1-111/111	0/0	100.0	100.0	ICEberg	ANC65558.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443448|ref|ANC65558.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00593	1	749	+	ICE_960	1-749/749	0/0	100.0	99.9	ICEberg	ANC65557.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443447|ref|ANC65557.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00594	1	168	+	ICE_60	1-168/168	0/0	100.0	100.0	ICEberg	CAF29042.1	putative_exported_protein_precursor_Haemophilus_influenzae	 ICEberg|60 gi|51507291|emb|CAF29042.1| putative exported protein precursor [Haemophilus influenzae]
EJFNJEFF_00595	1	252	+	ICE_60	1-252/252	0/0	100.0	100.0	ICEberg	CAF29041.1	putative_exported_protein_precursor_Haemophilus_influenzae	 ICEberg|60 gi|51507290|emb|CAF29041.1| putative exported protein precursor [Haemophilus influenzae]
EJFNJEFF_00596	1	246	+	ICE_60	1-246/246	0/0	100.0	98.0	ICEberg	CAF29040.1	putative_exported_protein_precursor_Haemophilus_influenzae	 ICEberg|60 gi|51507289|emb|CAF29040.1| putative exported protein precursor [Haemophilus influenzae]
EJFNJEFF_00597	1	209	+	ICE_60	1-209/209	0/0	100.0	99.5	ICEberg	CAF29039.1	putative_lipoprotein_precursor_Haemophilus_influenzae	 ICEberg|60 gi|51507288|emb|CAF29039.1| putative lipoprotein precursor [Haemophilus influenzae]
EJFNJEFF_00598	1	243	+	ICE_960	1-243/243	0/0	100.0	97.9	ICEberg	ANC65552.1	TraX_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443442|ref|ANC65552.1| TraX protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00600	1	156	+	ICE_60	1-156/156	0/0	100.0	97.4	ICEberg	CAF29022.1	putative_DNA_repair-like_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507273|emb|CAF29022.1| putative DNA repair-like protein [Haemophilus influenzae]
EJFNJEFF_00602	1	213	+	ICE_960	1-213/213	0/0	100.0	97.7	ICEberg	ANC65537.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443427|ref|ANC65537.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00603	1	142	+	ICE_60	1-142/142	0/0	100.0	100.0	ICEberg	CAF29020.1	conserved_hypothetical_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507271|emb|CAF29020.1| conserved hypothetical protein [Haemophilus influenzae]
EJFNJEFF_00604	1	681	+	ICE_60	1-681/681	0/0	100.0	97.8	ICEberg	CAF29019.1	DNA_topoisomerase_III_Haemophilus_influenzae	 ICEberg|60 gi|51507270|emb|CAF29019.1| DNA topoisomerase III [Haemophilus influenzae]
EJFNJEFF_00605	1	185	+	ICE_60	1-185/185	0/0	100.0	96.8	ICEberg	CAF29018.1	hypothetical_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507269|emb|CAF29018.1| hypothetical protein [Haemophilus influenzae]
EJFNJEFF_00606	1	172	+	ICE_960	1-172/172	0/0	100.0	99.4	ICEberg	ANC65533.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443423|ref|ANC65533.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00607	1	140	+	ICE_960	1-140/140	0/0	100.0	99.3	ICEberg	ANC65532.1	single-stranded_DNA_binding_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443422|ref|ANC65532.1| single-stranded DNA binding protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00608	1	157	+	ICE_960	1-157/157	0/0	100.0	100.0	ICEberg	ANC65531.1	hypothetical_protein_Actinobacillus_pleuropneumoniae	 ICEberg|960 gi|9723443421|ref|ANC65531.1| hypothetical protein [Actinobacillus pleuropneumoniae]
EJFNJEFF_00609	1	251	+	ICE_60	1-251/251	0/0	100.0	100.0	ICEberg	CAF29014.1	conserved_hypothetical_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507265|emb|CAF29014.1| conserved hypothetical protein [Haemophilus influenzae]
EJFNJEFF_00611	1	407	+	ICE_60	1-407/407	0/0	100.0	98.0	ICEberg	CAF29013.1	conserved_hypothetical_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507264|emb|CAF29013.1| conserved hypothetical protein [Haemophilus influenzae]
EJFNJEFF_00612	1	183	+	ICE_60	1-183/183	0/0	100.0	100.0	ICEberg	CAF29012.1	conserved_hypothetical_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507263|emb|CAF29012.1| conserved hypothetical protein [Haemophilus influenzae]
EJFNJEFF_00613	1	566	+	ICE_60	1-562/562	1/4	100.0	95.9	ICEberg	CAF29011.1	conserved_hypothetical_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507262|emb|CAF29011.1| conserved hypothetical protein [Haemophilus influenzae]
EJFNJEFF_00614	1	451	+	ICE_60	1-451/451	0/0	100.0	99.1	ICEberg	CAF29010.1	replicative_DNA_helicase_Haemophilus_influenzae	 ICEberg|60 gi|51507261|emb|CAF29010.1| replicative DNA helicase [Haemophilus influenzae]
EJFNJEFF_00615	1	278	+	ICE_60	1-278/278	0/0	100.0	100.0	ICEberg	CAF29009.1	putative_chromosome_partitioning_related_protein_Haemophilus_influenzae	 ICEberg|60 gi|51507260|emb|CAF29009.1| putative chromosome partitioning related protein [Haemophilus influenzae]
EJFNJEFF_00725	5	527	+	ICE_40	7-529/529	0/0	98.87	83.9	ICEberg	CAR44788.1	peptide_chain_release_factor_3_Proteus_mirabilis_HI4320	 ICEberg|40 gi|194683755|emb|CAR44788.1| peptide chain release factor 3 [Proteus mirabilis HI4320]
EJFNJEFF_00920	1	89	+	ICE_36	1-89/89	0/0	100.0	74.2	ICEberg	ACV96558.1	ribosomal_protein_S15_Vibrio_fluvialis_Ind1	 ICEberg|36 gi|259156615|gb|ACV96558.1| ribosomal protein S15 [Vibrio fluvialis Ind1]
EJFNJEFF_01393	1	44	+	ICE_812	1-44/44	0/0	100.0	72.7	ICEberg	CCH26401.1	ribosomal_protein_L34_Streptococcus_pyogenes	 ICEberg|812 gi|7374557478|ref|CCH26401.1| ribosomal protein L34 [Streptococcus pyogenes]
