locus_tag	ftype	length_bp	gene	EC_number	COG	product
HOLGGCEK_00166	CDS	792	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
HOLGGCEK_00167	CDS	222				hypothetical protein
HOLGGCEK_00168	CDS	2808	rne	3.1.26.12		Ribonuclease E
HOLGGCEK_00169	CDS	969	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
HOLGGCEK_00170	CDS	276	hfq		COG1923	RNA-binding protein Hfq
HOLGGCEK_00171	CDS	957	tyrR		COG3283	Transcriptional regulatory protein TyrR
HOLGGCEK_00172	CDS	1428				hypothetical protein
HOLGGCEK_00173	CDS	807	znuC_1	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
HOLGGCEK_00174	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
HOLGGCEK_00175	CDS	948	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
HOLGGCEK_00176	CDS	867	pdxY	2.7.1.35	COG2240	Pyridoxal kinase PdxY
HOLGGCEK_00177	CDS	1293	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
HOLGGCEK_00178	CDS	672	mutH		COG3066	DNA mismatch repair protein MutH
HOLGGCEK_00179	CDS	540	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
HOLGGCEK_00180	CDS	1356	ompP1			Outer membrane protein P1
HOLGGCEK_00181	CDS	288				hypothetical protein
HOLGGCEK_00182	CDS	825	cpdA	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
HOLGGCEK_00183	CDS	633	nudF	3.6.1.13		ADP-ribose pyrophosphatase
HOLGGCEK_00184	CDS	1320	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
HOLGGCEK_00185	CDS	1215		1.14.11.-	COG2850	putative ribosomal oxygenase
HOLGGCEK_00186	CDS	309				hypothetical protein
HOLGGCEK_00187	CDS	585	pth	3.1.1.29		Peptidyl-tRNA hydrolase
HOLGGCEK_00188	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
HOLGGCEK_00189	CDS	1896				hypothetical protein
HOLGGCEK_00190	CDS	1143	rnd	3.1.13.5	COG0349	Ribonuclease D
HOLGGCEK_00191	CDS	1689	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
HOLGGCEK_00192	CDS	552	slp		COG3065	Outer membrane protein Slp
HOLGGCEK_00193	CDS	711	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
HOLGGCEK_00194	CDS	1923	yoaA	3.6.4.12	COG1199	putative ATP-dependent DNA helicase YoaA
HOLGGCEK_00195	CDS	411	ybgC	3.1.2.-	COG0824	Acyl-CoA thioesterase YbgC
HOLGGCEK_00196	CDS	687	tolQ_1		COG0811	Tol-Pal system protein TolQ
HOLGGCEK_00197	CDS	420	tolR_1		COG0848	Tol-Pal system protein TolR
HOLGGCEK_00198	CDS	1179				tolA_full: protein TolA
HOLGGCEK_00199	CDS	1284	tolB		COG0823	Tol-Pal system protein TolB
HOLGGCEK_00200	CDS	462	pal		COG2885	Peptidoglycan-associated lipoprotein
HOLGGCEK_00201	tRNA	76				tRNA-Lys(ttt)
HOLGGCEK_00202	tRNA	76				tRNA-Lys(ctt)
HOLGGCEK_00203	CDS	726		2.1.1.-	COG0565	putative tRNA/rRNA methyltransferase
HOLGGCEK_00204	CDS	453	iscR		COG1959	HTH-type transcriptional regulator IscR
HOLGGCEK_00205	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
HOLGGCEK_00206	CDS	381	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
HOLGGCEK_00207	CDS	324	iscA		COG0316	Iron-binding protein IscA
HOLGGCEK_00208	CDS	525	hscB		COG1076	Co-chaperone protein HscB 
HOLGGCEK_00209	CDS	687				hypothetical protein
HOLGGCEK_00210	CDS	1860	hscA		COG0443	Chaperone protein HscA
HOLGGCEK_00211	CDS	342	fdx		COG0633	2Fe-2S ferredoxin
HOLGGCEK_00212	CDS	195	iscX		COG2975	Protein IscX
HOLGGCEK_00213	CDS	615				hypothetical protein
HOLGGCEK_00214	CDS	1272	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
HOLGGCEK_00215	CDS	1107	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
HOLGGCEK_00216	CDS	912	rodZ		COG1426	Cytoskeleton protein RodZ
HOLGGCEK_00217	CDS	540				type_IV_pilW: type IV pilus biogenesis/stability protein PilW
HOLGGCEK_00218	CDS	1152	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
HOLGGCEK_00219	CDS	879				hypothetical protein
HOLGGCEK_00220	CDS	882			COG0803	putative periplasmic iron-binding protein
HOLGGCEK_00221	CDS	921	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HOLGGCEK_00222	CDS	849	mntB_1			Manganese transport system membrane protein MntB
HOLGGCEK_00223	CDS	816	mntB_2			Manganese transport system membrane protein MntB
HOLGGCEK_00224	CDS	648	tenA	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
HOLGGCEK_00225	CDS	945			COG0715	Putative thiamine biosynthesis protein
HOLGGCEK_00226	CDS	738	ribX			Riboflavin transport system permease protein RibX
HOLGGCEK_00227	CDS	723	ssuB	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
HOLGGCEK_00228	CDS	999				hypothetical protein
HOLGGCEK_00229	CDS	1017	lnpD	5.1.3.2		UDP-glucose 4-epimerase
HOLGGCEK_00230	CDS	1278	ampG		COG0477	Anhydromuropeptide permease
HOLGGCEK_00231	CDS	645	adk	2.7.4.3	COG0563	Adenylate kinase
HOLGGCEK_00232	CDS	603	napC		COG3005	Cytochrome c-type protein NapC
HOLGGCEK_00233	CDS	444	napB		COG3043	Periplasmic nitrate reductase, electron transfer subunit
HOLGGCEK_00234	CDS	864	napH		COG0348	Ferredoxin-type protein NapH
HOLGGCEK_00235	CDS	834	napF_1			Ferredoxin-type protein NapF
HOLGGCEK_00236	CDS	2484	napA	1.9.6.1	COG0243	Periplasmic nitrate reductase
HOLGGCEK_00237	CDS	282	napD		COG3062	Chaperone NapD
HOLGGCEK_00238	CDS	531	napF_2		COG1145	Ferredoxin-type protein NapF
HOLGGCEK_00239	CDS	345			COG3171	putative protein
HOLGGCEK_00240	CDS	741	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
HOLGGCEK_00241	CDS	2193	priA	3.6.4.-	COG1198	Primosomal protein N'
HOLGGCEK_00242	CDS	1047	tqsA		COG0628	AI-2 transport protein TqsA
HOLGGCEK_00243	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
HOLGGCEK_00244	CDS	594	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
HOLGGCEK_00245	CDS	357	dgkA	2.7.1.107	COG0818	Diacylglycerol kinase
HOLGGCEK_00246	CDS	2232	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
HOLGGCEK_00247	CDS	582				hypothetical protein
HOLGGCEK_00248	CDS	618				hypothetical protein
HOLGGCEK_00249	CDS	2286				hypothetical protein
HOLGGCEK_00250	CDS	1428		3.1.21.4		Type IIS restriction enzyme Eco57I
HOLGGCEK_00251	CDS	1593	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
HOLGGCEK_00252	CDS	711	recO		COG1381	DNA repair protein RecO
HOLGGCEK_00253	CDS	405				hypothetical protein
HOLGGCEK_00254	CDS	1332	oapA		COG3061	Opacity-associated protein OapA
HOLGGCEK_00255	CDS	1017	epmB	5.4.3.-	COG1509	L-lysine 2,3-aminomutase
HOLGGCEK_00256	CDS	567	efp		COG0231	Elongation factor P
HOLGGCEK_00257	tRNA	90				tRNA-Ser(tga)
HOLGGCEK_00258	CDS	588				hypothetical protein
HOLGGCEK_00259	CDS	1353				hypothetical protein
HOLGGCEK_00260	CDS	690	rnt	3.1.13.-	COG0847	Ribonuclease T
HOLGGCEK_00261	CDS	408	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
HOLGGCEK_00262	CDS	405	vapC1	3.1.-.-		Ribonuclease VapC1
HOLGGCEK_00263	CDS	237	vapB1		COG4456	Antitoxin VapB1
HOLGGCEK_00264	CDS	726	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
HOLGGCEK_00265	CDS	519				hypothetical protein
HOLGGCEK_00266	CDS	1767	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
HOLGGCEK_00267	CDS	477	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
HOLGGCEK_00268	CDS	741			COG0217	putative transcriptional regulatory protein
HOLGGCEK_00269	CDS	573	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
HOLGGCEK_00270	CDS	615	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
HOLGGCEK_00271	CDS	1008	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
HOLGGCEK_00272	CDS	288				hypothetical protein
HOLGGCEK_00273	CDS	894	xerD		COG4974	Tyrosine recombinase XerD
HOLGGCEK_00274	CDS	1167	hcaT			putative 3-phenylpropionic acid transporter
HOLGGCEK_00275	CDS	816	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
HOLGGCEK_00276	CDS	909	rdgC		COG2974	Recombination-associated protein RdgC
HOLGGCEK_00277	CDS	420	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
HOLGGCEK_00278	CDS	561				hypothetical protein
HOLGGCEK_00279	CDS	738	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
HOLGGCEK_00280	CDS	1530	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
HOLGGCEK_00281	CDS	900	corC		COG4535	Magnesium and cobalt efflux protein CorC
HOLGGCEK_00282	CDS	561	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
HOLGGCEK_00283	CDS	450				hypothetical protein
HOLGGCEK_00284	CDS	1395	epsE		COG2804	Type II secretion system protein E
HOLGGCEK_00285	CDS	1218	gspF		COG1459	Putative type II secretion system protein F
HOLGGCEK_00286	CDS	693				hypothetical protein
HOLGGCEK_00287	CDS	1263	rho	3.6.4.-	COG1158	Transcription termination factor Rho
HOLGGCEK_00288	CDS	318	metJ		COG3060	Met repressor
HOLGGCEK_00289	CDS	387	hmrR_1			HTH-type transcriptional regulator HmrR
HOLGGCEK_00290	CDS	207			COG2608	putative protein
HOLGGCEK_00291	CDS	207			COG2608	putative protein
HOLGGCEK_00292	CDS	207			COG2608	putative protein
HOLGGCEK_00293	CDS	207			COG2608	putative protein
HOLGGCEK_00294	CDS	2169	copA	7.2.2.8	COG2217	Copper-exporting P-type ATPase
HOLGGCEK_00295	CDS	1239	sdaC		COG0814	Serine transporter
HOLGGCEK_00296	CDS	1368	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
HOLGGCEK_00297	CDS	1257	mtr			Tryptophan-specific transport protein
HOLGGCEK_00298	CDS	1215	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
HOLGGCEK_00299	CDS	1272	menF_1	5.4.4.2	COG1169	Isochorismate synthase MenF
HOLGGCEK_00300	CDS	1707	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
HOLGGCEK_00301	CDS	744	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
HOLGGCEK_00302	CDS	1317	yhjE_2			Inner membrane metabolite transport protein YhjE
HOLGGCEK_00303	CDS	759	udp	2.4.2.3	COG2820	Uridine phosphorylase
HOLGGCEK_00304	CDS	663				hypothetical protein
HOLGGCEK_00305	CDS	483				hypothetical protein
HOLGGCEK_00306	CDS	810				hypothetical protein
HOLGGCEK_00307	CDS	1656				hypothetical protein
HOLGGCEK_00308	tRNA	76				tRNA-Val(tac)
HOLGGCEK_00309	tRNA	76				tRNA-Val(tac)
HOLGGCEK_00310	tRNA	76				tRNA-Val(tac)
HOLGGCEK_00311	tRNA	76				tRNA-Val(tac)
HOLGGCEK_00312	CDS	1443	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
HOLGGCEK_00313	tRNA	76				tRNA-Ala(ggc)
HOLGGCEK_00314	CDS	717	rph	2.7.7.56		Ribonuclease PH
HOLGGCEK_00315	CDS	642	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
HOLGGCEK_00316	CDS	867	djlA		COG1076	Co-chaperone protein DjlA
HOLGGCEK_00317	CDS	933	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
HOLGGCEK_00318	CDS	846	rpoH		COG0568	RNA polymerase sigma factor RpoH
HOLGGCEK_00319	CDS	312				hypothetical protein
HOLGGCEK_00320	CDS	1026	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
